timestamp,encoder_left,encoder_right
1752174284.643577,0.0,0.0
1752174284.648025,0.0,0.0
1752174284.654339,0.0,0.0
1752174284.674573,0.0,0.0
1752174284.6936316,0.0,0.0
1752174284.711162,0.0,0.0
1752174284.732989,0.0,0.0
1752174284.7530086,0.0,0.0
1752174284.7737777,0.0,0.0
1752174284.7946224,0.0,0.0
1752174284.81277,0.0,0.0
1752174284.8338363,0.0,0.0
1752174284.8515499,0.0,0.0
1752174284.8737924,0.0,0.0
1752174284.891659,0.0,0.0
1752174284.9127686,0.0,0.0
1752174284.9313204,0.0,0.0
1752174284.9548194,0.0,0.0
1752174284.9717803,0.0,0.0
1752174284.991993,0.0,0.0
1752174285.0130303,0.0,0.0
1752174285.033708,0.0,0.0
1752174285.0536947,0.0,0.0
1752174285.0737705,0.0,0.0
1752174285.095576,0.0,0.0
1752174285.1115863,0.0,0.0
1752174285.1312964,0.0,0.0
1752174285.1510608,0.0,0.0
1752174285.1717963,0.0,0.0
1752174285.1919775,0.0,0.0
1752174285.211432,0.0,0.0
1752174285.232188,0.0,0.0
1752174285.2548027,0.0,0.0
1752174285.2739804,0.0,0.0
1752174285.291348,0.0,0.0
1752174285.3119967,0.0,0.0
1752174285.3347576,0.0,0.0
1752174285.3528502,0.0,0.0
1752174285.3735,0.0,0.0
1752174285.3916914,0.0,0.0
1752174285.4120398,0.0,0.0
1752174285.4345403,0.0,0.0
1752174285.4535506,0.0,0.0
1752174285.4742105,0.0,0.0
1752174285.4917014,0.0,0.0
1752174285.5119545,0.0,0.0
1752174285.5345228,0.0,0.0
1752174285.5535016,0.0,0.0
1752174285.5743773,0.0,0.0
1752174285.5938213,0.0,0.0
1752174285.6109476,0.0,0.0
1752174285.6328557,0.0,0.0
1752174285.653861,0.0,0.0
1752174285.6736035,0.0,0.0
1752174285.694193,0.0,0.0
1752174285.7109423,0.0,0.0
1752174285.733018,0.0,0.0
1752174285.754247,0.0,0.0
1752174285.7730656,0.0,0.0
1752174285.7941558,0.0,0.0
1752174285.8109035,0.0,0.0
1752174285.8328328,0.0,0.0
1752174285.853744,0.0,0.0
1752174285.8738635,0.0,0.0
1752174285.8916106,0.0,0.0
1752174285.9119751,0.0,0.0
1752174285.9346085,0.0,0.0
1752174285.9530075,0.0,0.0
1752174285.9722695,0.0,0.0
1752174285.9923308,0.0,0.0
1752174286.0128794,0.0,0.0
1752174286.0336337,0.0,0.0
1752174286.0535245,0.0,0.0
1752174286.0746305,0.0,0.0
1752174286.0934358,0.0,0.0
1752174286.110946,0.0,0.0
1752174286.132839,0.0,0.0
1752174286.1535408,0.0,0.0
1752174286.1736426,0.0,0.0
1752174286.1941864,0.0,0.0
1752174286.2108424,0.0,0.0
1752174286.232754,0.0,0.0
1752174286.2534518,0.0,0.0
1752174286.2734525,0.0,0.0
1752174286.294128,0.0,0.0
1752174286.3108923,0.0,0.0
1752174286.3328185,0.0,0.0
1752174286.353747,0.0,0.0
1752174286.37358,0.0,0.0
1752174286.394293,0.0,0.0
1752174286.411212,0.0,0.0
1752174286.4327822,0.0,0.0
1752174286.4534736,0.0,0.0
1752174286.4734242,0.0,0.0
1752174286.4941523,0.0,0.0
1752174286.5108736,0.0,0.0
1752174286.5317903,0.0,0.0
1752174286.5545042,0.0,0.0
1752174286.5735934,0.0,0.0
1752174286.5950751,0.0,0.0
1752174286.6112187,0.0,0.0
1752174286.6328938,0.0,0.0
1752174286.652857,0.0,0.0
1752174286.6743245,0.0,0.0
1752174286.6941624,0.0,0.0
1752174286.7109096,0.0,0.0
1752174286.7328002,0.0,0.0
1752174286.7534623,0.0,0.0
1752174286.7736316,0.0,0.0
1752174286.794303,0.0,0.0
1752174286.8109128,0.0,0.0
1752174286.8328166,0.0,0.0
1752174286.8539019,0.0,0.0
1752174286.875036,0.0,0.0
1752174286.891999,0.0,0.0
1752174286.913206,0.0,0.0
1752174286.9312973,0.0,0.0
1752174286.9512076,0.0,0.0
1752174286.9722962,0.0,0.0
1752174286.9919379,0.0,0.0
1752174287.0110822,0.0,0.0
1752174287.0317209,0.0,0.0
1752174287.052158,0.0,0.0
1752174287.071495,0.0,0.0
1752174287.0911884,0.0,0.0
1752174287.1117935,0.0,0.0
1752174287.1319113,0.0,0.0
1752174287.1530964,0.0,0.0
